id_term,neutral_framing,positive_framing,negative_framing
Arunachali,0.8267545383423567,1.5191623009741306,0.9385293554514647
Assamese,1.1258565615862608,1.7477503549307585,1.0872633196413517
Bengali,1.2234905436635017,1.6788268722593784,1.2213886072859168
Bihari,0.7338691297918558,1.6493887789547443,0.8022928787395358
Chattisgarhi,0.9770866129547358,1.78828539326787,0.9684278946369886
Goan,0.31010216660797596,1.1930381432175636,0.49548173509538174
Gujarati,1.0796094834804535,1.566102348268032,1.4797216057777405
Haryanvi,0.405035600066185,1.452962500974536,0.7842249944806099
Himachali,0.47872176952660084,0.5734051093459129,0.34661290794610977
Jharkhandi,1.0340892393141985,1.7951831668615341,0.9594648201018572
Kannadiga,0.8214534223079681,1.6029736939817667,0.6270528100430965
Kashmiri,0.5626850929111242,1.4836820159107447,0.8018583990633488
Madhya pradeshi,1.0942909941077232,1.9717648159712553,1.0758307501673698
Manipuri,0.9032152621075511,1.4039816670119762,1.0256754253059626
Marathi,1.1926264502108097,1.9240552401170135,2.036565580405295
Meghalayan,0.7523958589881659,1.4891842938959599,0.9539464684203267
Odiya,0.9216055516153574,1.6299200262874365,0.7447387231513858
Punjabi,0.9255260955542326,1.6064718086272478,1.4314703457057476
Rajasthani,0.961090600118041,1.6095435991883278,1.1659334748983383
Tamilian,0.5502317659556866,1.4950048811733723,0.3023245520889759
Telugu,0.3120691291987896,0.8381655812263489,0.4713330212980509
Tripuri,0.506428075954318,1.296153137460351,0.6501294989138842
Uttar pradeshi,1.0453519076108932,1.7218437790870667,0.9915757589042187
Uttarakhandi,0.9574927464127541,1.5137289073318243,0.896910484880209
Mizo,,0.02883719652891159,0.05236155726015568
